                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                 1.3184,                 1.3259,                 1.5034,                0.78988,                0.74215,                0.80575,                0.52181,                 1.2594,                  1.118,                 1.4461,               0.006964,               0.006964,               0.006964
                     95,                 1.3101,                 1.3236,                 1.5016,                0.80319,                0.71613,                0.79736,                0.52122,                 1.2737,                 1.1108,                 1.4503,               0.006931,               0.006931,               0.006931
                     96,                 1.2988,                 1.3341,                 1.4937,                0.82121,                0.71448,                0.81354,                0.52865,                  1.255,                 1.1082,                 1.4392,               0.006898,               0.006898,               0.006898
                     97,                 1.2947,                 1.3364,                 1.4933,                0.81907,                0.70583,                0.80454,                 0.5228,                 1.2555,                 1.0916,                 1.4295,               0.006865,               0.006865,               0.006865
                     98,                  1.303,                 1.3391,                 1.4924,                0.79505,                0.71595,                0.79963,                0.52029,                 1.2472,                 1.0967,                 1.4266,               0.006832,               0.006832,               0.006832
                     99,                 1.3046,                 1.3325,                 1.4987,                0.79611,                0.73942,                0.81109,                0.53275,                   1.23,                 1.0724,                 1.4224,               0.006799,               0.006799,               0.006799
                    100,                  1.301,                 1.3211,                 1.4869,                 0.7739,                0.75237,                0.81604,                0.53601,                 1.2348,                 1.0718,                 1.4234,               0.006766,               0.006766,               0.006766
                    101,                 1.2975,                 1.3225,                 1.4836,                 0.8101,                0.70869,                0.80275,                0.53055,                 1.2352,                 1.0895,                 1.4173,               0.006733,               0.006733,               0.006733
                    102,                 1.2878,                 1.3119,                 1.4775,                0.82839,                0.70789,                0.81724,                0.54278,                 1.2283,                 1.0537,                  1.424,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.3008,                 1.3072,                  1.485,                0.81528,                0.71722,                0.81182,                0.54386,                  1.231,                 1.0661,                 1.4173,               0.006667,               0.006667,               0.006667
                    104,                 1.2916,                 1.3109,                 1.4785,                0.82249,                0.72609,                0.81737,                0.54352,                 1.2368,                 1.0754,                 1.4176,               0.006634,               0.006634,               0.006634
                    105,                 1.2939,                 1.3076,                 1.4816,                0.84348,                0.71663,                0.82415,                 0.5412,                 1.2324,                 1.0603,                 1.4092,               0.006601,               0.006601,               0.006601
                    106,                 1.2943,                 1.3078,                 1.4819,                0.83363,                0.69564,                0.81524,                0.53457,                 1.2338,                 1.0691,                 1.4058,               0.006568,               0.006568,               0.006568
                    107,                 1.2863,                 1.3171,                 1.4813,                 0.8134,                0.71866,                0.82246,                0.54259,                 1.2063,                 1.0508,                 1.3932,               0.006535,               0.006535,               0.006535
                    108,                  1.292,                 1.3019,                 1.4784,                0.79187,                0.70753,                0.81508,                0.53375,                 1.2153,                 1.0512,                 1.3942,               0.006502,               0.006502,               0.006502
                    109,                 1.2775,                  1.282,                 1.4687,                0.79378,                 0.7424,                0.82488,                0.53854,                  1.216,                 1.0365,                 1.4003,               0.006469,               0.006469,               0.006469
                    110,                 1.2799,                 1.2738,                 1.4699,                0.80143,                0.74046,                0.82935,                0.53655,                  1.219,                  1.039,                 1.4012,               0.006436,               0.006436,               0.006436
                    111,                 1.2795,                 1.2823,                 1.4689,                0.82557,                0.73461,                0.82894,                0.53722,                 1.2128,                 1.0464,                 1.4026,               0.006403,               0.006403,               0.006403
                    112,                 1.2782,                 1.2825,                 1.4686,                0.81248,                0.74191,                0.82379,                0.53733,                 1.2168,                 1.0531,                 1.3986,                0.00637,                0.00637,                0.00637
                    113,                 1.2656,                 1.2695,                 1.4599,                0.81292,                0.74345,                0.82638,                0.53733,                  1.205,                 1.0503,                 1.3933,               0.006337,               0.006337,               0.006337
                    114,                 1.2774,                 1.2719,                 1.4741,                0.81102,                0.73261,                0.82858,                0.55362,                 1.2053,                 1.0265,                 1.3952,               0.006304,               0.006304,               0.006304
                    115,                 1.2612,                 1.2701,                 1.4522,                 0.8044,                0.73233,                0.82832,                0.54002,                 1.2176,                 1.0447,                 1.4056,               0.006271,               0.006271,               0.006271
                    116,                 1.2714,                  1.266,                 1.4713,                0.80675,                0.74709,                0.82977,                0.54728,                 1.2066,                 1.0214,                 1.4014,               0.006238,               0.006238,               0.006238
                    117,                 1.2617,                  1.249,                 1.4607,                0.80691,                0.73104,                0.83068,                0.54392,                 1.2183,                   1.03,                 1.4022,               0.006205,               0.006205,               0.006205
                    118,                 1.2531,                 1.2537,                 1.4502,                0.82935,                0.72587,                0.83575,                0.54206,                  1.213,                 1.0306,                 1.3995,               0.006172,               0.006172,               0.006172
                    119,                 1.2598,                  1.256,                 1.4526,                0.82565,                0.71902,                0.83285,                0.54301,                  1.199,                 1.0192,                 1.3779,               0.006139,               0.006139,               0.006139
                    120,                 1.2546,                 1.2553,                 1.4556,                0.82871,                0.73235,                0.82277,                0.54799,                 1.1867,                 1.0171,                 1.3748,               0.006106,               0.006106,               0.006106
                    121,                 1.2623,                 1.2517,                 1.4539,                0.78567,                0.75398,                0.83086,                0.54936,                 1.1968,                 1.0178,                 1.3752,               0.006073,               0.006073,               0.006073
                    122,                 1.2542,                  1.246,                 1.4588,                0.76614,                0.75767,                0.83091,                0.55468,                 1.1938,                 1.0142,                 1.3714,                0.00604,                0.00604,                0.00604
                    123,                 1.2679,                 1.2223,                 1.4554,                0.85134,                0.69471,                0.83477,                 0.5558,                 1.1896,                 1.0163,                 1.3758,               0.006007,               0.006007,               0.006007
                    124,                 1.2417,                  1.226,                 1.4401,                0.80581,                0.73314,                0.83152,                0.55314,                 1.1929,                 1.0116,                  1.378,               0.005974,               0.005974,               0.005974
                    125,                 1.2535,                 1.2265,                 1.4442,                0.81084,                 0.7568,                0.83912,                0.55312,                 1.1942,                 1.0006,                 1.3748,               0.005941,               0.005941,               0.005941
                    126,                 1.2375,                  1.228,                 1.4322,                0.81936,                0.73362,                0.82452,                0.55033,                 1.1986,                  1.014,                 1.3829,               0.005908,               0.005908,               0.005908
                    127,                 1.2487,                 1.2268,                  1.442,                0.82424,                0.73882,                0.83659,                0.54798,                 1.1938,                 1.0006,                 1.3774,               0.005875,               0.005875,               0.005875
                    128,                 1.2426,                 1.2189,                 1.4304,                0.80628,                0.74635,                0.82892,                0.55049,                 1.1985,                 1.0004,                 1.3799,               0.005842,               0.005842,               0.005842
                    129,                 1.2346,                 1.2183,                 1.4321,                0.81125,                0.74227,                0.82933,                0.55133,                 1.1908,                0.99776,                 1.3708,               0.005809,               0.005809,               0.005809
                    130,                 1.2339,                 1.2181,                 1.4347,                0.81934,                0.74888,                0.83342,                0.54729,                 1.1866,                0.99476,                 1.3739,               0.005776,               0.005776,               0.005776
