                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 1.3567,                 1.4319,                 1.5631,                0.79825,                0.70816,                0.79236,                0.51288,                 1.2901,                 1.1505,                 1.4877,               0.007228,               0.007228,               0.007228
                     87,                 1.3437,                 1.4127,                 1.5478,                0.79852,                0.71843,                0.80807,                0.51845,                 1.2904,                 1.1416,                 1.4979,               0.007195,               0.007195,               0.007195
                     88,                 1.3488,                 1.4225,                 1.5527,                 0.7707,                0.73031,                0.79451,                0.51455,                 1.2857,                 1.1578,                 1.4904,               0.007162,               0.007162,               0.007162
                     89,                 1.3584,                 1.4513,                 1.5597,                0.81869,                0.70921,                0.79687,                0.50596,                 1.2858,                 1.1648,                  1.502,               0.007129,               0.007129,               0.007129
                     90,                 1.3334,                 1.4005,                 1.5359,                0.81304,                0.69127,                0.80094,                0.50742,                 1.2887,                 1.1471,                 1.4932,               0.007096,               0.007096,               0.007096
                     91,                 1.3461,                 1.4148,                 1.5462,                0.78179,                0.72354,                0.80654,                0.52697,                 1.2673,                  1.131,                 1.4745,               0.007063,               0.007063,               0.007063
                     92,                  1.344,                 1.3981,                 1.5374,                0.82038,                 0.7139,                0.80503,                0.51636,                 1.2765,                 1.1555,                 1.4819,                0.00703,                0.00703,                0.00703
                     93,                 1.3421,                 1.4071,                 1.5359,                0.78871,                0.71671,                0.79654,                0.51664,                 1.2799,                 1.1336,                 1.4853,               0.006997,               0.006997,               0.006997
                     94,                 1.3192,                 1.3807,                 1.5244,                0.81371,                0.73173,                0.81698,                0.53442,                 1.2607,                 1.1343,                 1.4675,               0.006964,               0.006964,               0.006964
                     95,                 1.3508,                 1.4285,                 1.5458,                0.77646,                0.73615,                0.80016,                0.51582,                 1.2723,                 1.1269,                 1.4857,               0.006931,               0.006931,               0.006931
                     96,                 1.3296,                 1.3775,                 1.5424,                0.80129,                0.72489,                0.80922,                0.52462,                 1.2622,                 1.1249,                 1.4782,               0.006898,               0.006898,               0.006898
                     97,                 1.3183,                 1.3719,                 1.5234,                0.78182,                0.75652,                0.81148,                0.52961,                 1.2678,                 1.1097,                 1.4761,               0.006865,               0.006865,               0.006865
                     98,                 1.3308,                 1.3651,                 1.5287,                0.78124,                0.73677,                0.81713,                0.52488,                 1.2656,                 1.0842,                 1.4741,               0.006832,               0.006832,               0.006832
                     99,                 1.3232,                 1.3741,                 1.5279,                0.81153,                0.73497,                0.82241,                0.53164,                 1.2718,                 1.0981,                 1.4809,               0.006799,               0.006799,               0.006799
                    100,                 1.3203,                 1.3731,                 1.5278,                0.81374,                0.74628,                0.81959,                0.52727,                 1.2637,                 1.1079,                 1.4711,               0.006766,               0.006766,               0.006766
                    101,                 1.3236,                 1.3702,                 1.5218,                0.81805,                0.72168,                0.81748,                0.52741,                 1.2713,                 1.1091,                 1.4721,               0.006733,               0.006733,               0.006733
                    102,                 1.3115,                 1.3472,                 1.5109,                0.84482,                0.71688,                0.82087,                0.53504,                 1.2406,                 1.0769,                 1.4604,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.3064,                 1.3528,                 1.5145,                0.85429,                0.69873,                0.81977,                0.53221,                 1.2494,                   1.09,                 1.4618,               0.006667,               0.006667,               0.006667
                    104,                 1.3184,                 1.3421,                 1.5201,                0.83379,                0.71378,                0.81285,                0.52786,                 1.2449,                 1.0714,                 1.4552,               0.006634,               0.006634,               0.006634
                    105,                 1.3044,                 1.3384,                 1.5007,                 0.8158,                0.72945,                0.82471,                0.53561,                 1.2447,                 1.0751,                 1.4472,               0.006601,               0.006601,               0.006601
                    106,                 1.3056,                 1.3312,                 1.5078,                0.82374,                0.74189,                0.82179,                0.54023,                 1.2568,                 1.0777,                 1.4545,               0.006568,               0.006568,               0.006568
                    107,                 1.3066,                 1.3504,                 1.5065,                0.79306,                0.73388,                 0.8143,                0.53641,                 1.2463,                 1.0849,                  1.451,               0.006535,               0.006535,               0.006535
                    108,                 1.3103,                 1.3428,                 1.5106,                0.81675,                0.74032,                0.82562,                0.54707,                 1.2349,                 1.0754,                 1.4468,               0.006502,               0.006502,               0.006502
                    109,                 1.3112,                 1.3601,                 1.5195,                0.84413,                0.72664,                0.82247,                0.54075,                 1.2384,                 1.0736,                 1.4553,               0.006469,               0.006469,               0.006469
                    110,                 1.2906,                 1.3252,                 1.4985,                 0.8353,                 0.7307,                 0.8294,                0.54783,                  1.238,                 1.0546,                 1.4473,               0.006436,               0.006436,               0.006436
                    111,                 1.2989,                 1.3285,                  1.507,                0.82282,                0.74308,                0.82806,                0.55167,                 1.2323,                 1.0494,                 1.4478,               0.006403,               0.006403,               0.006403
                    112,                 1.2931,                 1.3046,                  1.496,                0.82004,                 0.7477,                0.82678,                0.54431,                 1.2381,                 1.0493,                 1.4534,                0.00637,                0.00637,                0.00637
                    113,                 1.2907,                 1.3133,                 1.4931,                0.83661,                 0.7326,                0.82458,                0.54484,                 1.2382,                 1.0506,                 1.4494,               0.006337,               0.006337,               0.006337
                    114,                 1.2845,                 1.2949,                   1.49,                0.81704,                0.74403,                0.82862,                0.55512,                 1.2378,                 1.0235,                 1.4467,               0.006304,               0.006304,               0.006304
                    115,                 1.2879,                 1.3192,                 1.4858,                0.83129,                0.73038,                0.82954,                0.55194,                 1.2303,                 1.0305,                 1.4329,               0.006271,               0.006271,               0.006271
                    116,                 1.2896,                 1.3188,                  1.488,                0.83491,                0.74701,                0.83146,                0.55139,                 1.2501,                 1.0535,                 1.4466,               0.006238,               0.006238,               0.006238
                    117,                 1.2777,                 1.2894,                 1.4823,                0.81866,                0.75612,                0.83846,                 0.5527,                 1.2509,                 1.0365,                 1.4419,               0.006205,               0.006205,               0.006205
                    118,                 1.2856,                 1.2913,                 1.4844,                0.84004,                0.73132,                0.83154,                0.54754,                 1.2613,                  1.049,                 1.4558,               0.006172,               0.006172,               0.006172
                    119,                 1.2881,                  1.303,                 1.4911,                0.83256,                 0.7464,                 0.8352,                0.55333,                  1.229,                 1.0369,                 1.4361,               0.006139,               0.006139,               0.006139
                    120,                  1.287,                 1.2942,                  1.485,                0.83896,                0.76474,                0.83177,                0.55067,                  1.234,                 1.0423,                 1.4405,               0.006106,               0.006106,               0.006106
                    121,                 1.2812,                 1.2915,                 1.4896,                 0.8286,                  0.758,                0.83484,                0.55589,                 1.2206,                 1.0157,                 1.4263,               0.006073,               0.006073,               0.006073
                    122,                 1.2751,                 1.2772,                 1.4808,                0.80891,                0.77882,                0.83514,                0.55576,                 1.2388,                 1.0246,                 1.4401,                0.00604,                0.00604,                0.00604
                    123,                   1.27,                 1.2719,                 1.4801,                 0.8085,                0.76512,                0.83646,                0.56079,                 1.2227,                 1.0201,                 1.4291,               0.006007,               0.006007,               0.006007
                    124,                 1.2764,                 1.2691,                 1.4811,                0.79889,                0.77421,                0.83591,                0.56104,                 1.2203,                 1.0193,                 1.4285,               0.005974,               0.005974,               0.005974
                    125,                 1.2709,                 1.2545,                  1.471,                0.81474,                0.75971,                0.83805,                0.56222,                 1.2241,                 1.0195,                 1.4273,               0.005941,               0.005941,               0.005941
                    126,                 1.2754,                 1.2771,                 1.4793,                0.82782,                0.74671,                0.84246,                0.56453,                 1.2101,                 1.0141,                 1.4171,               0.005908,               0.005908,               0.005908
                    127,                 1.2734,                  1.256,                 1.4727,                0.85085,                0.75015,                0.83843,                0.55969,                 1.2248,                 1.0176,                 1.4323,               0.005875,               0.005875,               0.005875
                    128,                 1.2615,                 1.2632,                 1.4691,                0.81371,                0.76025,                0.83716,                0.55935,                 1.2241,                 1.0131,                 1.4278,               0.005842,               0.005842,               0.005842
                    129,                 1.2495,                 1.2468,                 1.4617,                0.81214,                0.74479,                0.83676,                0.55322,                  1.219,                 1.0098,                  1.427,               0.005809,               0.005809,               0.005809
